Source,Target,Weight,TipoRelacion
163,GRUPO  INMOBILIARIO  KINSA  S.A.C.,43312.5,Familia-Entidad
164,INMOBILIARIA Y EJECUTORES ORION S.A.C.,55568.0,Familia-Entidad
165,INMOBILIARIA EL BRAMADERO S.A.C.,40250.0,Familia-Entidad
166,BECTEK CONTRATISTAS S.A.C.,38500.0,Familia-Entidad
167,GRUPO  INMOBILIARIO  KINSA  S.A.C.,40250.0,Familia-Entidad
168,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
169,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
170,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
171,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
172,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
173,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
174,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
175,CONSTRUCTORA LOS CASTAÐOS DE FERREÐAFE S.A.C.,40250.0,Familia-Entidad
176,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
177,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
178,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
179,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
180,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
181,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
182,GRUPO  INMOBILIARIO  KINSA  S.A.C.,40250.0,Familia-Entidad
183,INMOBILIARIA EL BRAMADERO S.A.C.,40250.0,Familia-Entidad
184,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
185,CONSTRUCTORA LOS CASTAÐOS DE FERREÐAFE S.A.C.,40250.0,Familia-Entidad
186,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
187,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
188,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
189,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
190,BECTEK CONTRATISTAS S.A.C.,38500.0,Familia-Entidad
191,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
192,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
193,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
194,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
195,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
196,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
197,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
198,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
199,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
200,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
201,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
202,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
203,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
204,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
205,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
206,BECTEK CONTRATISTAS S.A.C.,38500.0,Familia-Entidad
207,INVERSIONES ANGEL DE LUZ S.A.C.,43312.5,Familia-Entidad
208,GRUPO  INMOBILIARIO  KINSA  S.A.C.,40250.0,Familia-Entidad
209,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
210,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
211,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
212,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
213,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
214,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
