Id,EDAD JEFE FAMILIA,MODALIDAD,DEPARTAMENTO GRUPO FAMILIAR,Type,DEPARTAMENTO
604,38.0,AVN,LIMA,familia,
605,36.0,AVN,LA LIBERTAD,familia,
606,53.0,AVN,LA LIBERTAD,familia,
607,50.0,AVN,LA LIBERTAD,familia,
608,36.0,AVN,LA LIBERTAD,familia,
609,52.0,AVN,LIMA,familia,
610,31.0,AVN,LIMA,familia,
611,32.0,AVN,LA LIBERTAD,familia,
612,42.0,AVN,LA LIBERTAD,familia,
613,27.0,AVN,LA LIBERTAD,familia,
614,51.0,AVN,LA LIBERTAD,familia,
615,28.0,AVN,LA LIBERTAD,familia,
616,49.0,AVN,LA LIBERTAD,familia,
617,46.0,AVN,LA LIBERTAD,familia,
618,70.0,AVN,LA LIBERTAD,familia,
619,27.0,AVN,LA LIBERTAD,familia,
620,25.0,AVN,LA LIBERTAD,familia,
621,64.0,AVN,PIURA,familia,
622,34.0,AVN,LA LIBERTAD,familia,
623,32.0,AVN,LA LIBERTAD,familia,
624,31.0,AVN,LA LIBERTAD,familia,
625,33.0,AVN,LA LIBERTAD,familia,
626,31.0,AVN,LA LIBERTAD,familia,
627,41.0,AVN,CAJAMARCA,familia,
628,42.0,AVN,LA LIBERTAD,familia,
629,49.0,AVN,LIMA,familia,
630,52.0,AVN,LA LIBERTAD,familia,
631,26.0,AVN,LA LIBERTAD,familia,
632,40.0,AVN,LIMA,familia,
633,31.0,AVN,LIMA,familia,
634,49.0,AVN,LAMBAYEQUE,familia,
635,37.0,AVN,PIURA,familia,
636,31.0,AVN,LA LIBERTAD,familia,
637,29.0,AVN,LA LIBERTAD,familia,
638,23.0,AVN,LA LIBERTAD,familia,
639,45.0,AVN,LA LIBERTAD,familia,
640,37.0,AVN,LA LIBERTAD,familia,
641,29.0,AVN,CALLAO,familia,
642,32.0,AVN,LA LIBERTAD,familia,
643,23.0,AVN,LA LIBERTAD,familia,
644,48.0,AVN,LA LIBERTAD,familia,
645,39.0,AVN,LA LIBERTAD,familia,
646,35.0,AVN,LA LIBERTAD,familia,
647,29.0,AVN,LA LIBERTAD,familia,
648,38.0,AVN,LA LIBERTAD,familia,
649,51.0,AVN,LA LIBERTAD,familia,
650,44.0,AVN,CAJAMARCA,familia,
